discography,field_of_work,filmography,genre,identity,instrument,occupation,position_held,sex_or_gender,singles_record,sports_discipline_competed_in
Ella_Fitzgerald_discography,,,jazz,Ella_Fitzgerald,piano,singer-songwriter,,,,
,,,,Theopompus,,politician,,,,
,,,short_story,Anton_Chekhov,,playwright,,,,
,,,,Gn_Temr_Khan,,,,,,
,,,,Ptolemy_X_Alexander_I,,sovereign,,,,
,,,,Charles_Lyell,,geologist,,,,
,,,,Mary_Peters_Fieser,,chemist,,,,
,,,,Molon_Khan,,,,,,
,,,,Alison_Lohman,,actor,,,,
,,,,Alou_Diarra,,association_football_player,,,,
,,,,Kofi_Annan,,diplomat,,,,
,,,,Leonhard_Euler,,mathematician,,,,
,,,,Franois_Hollande,,politician,,,,
,,,,Bars_Bolud_Jinong,,,,,,
,,,,Emperor_Duzong_of_Song,,,,,,
,,,,Richard_Mateelong,,athletics_competitor,,,,
,,,,Gustav_Heinemann,,politician,,,,
,,,,Annemarie_Moser-Prll,,alpine_skier,,,,
,,,,Jnior_Csar_Moreira_da_Cunha,,association_football_player,,,,
,,,epic_poem,Virgil,,poet,,,,
,,,,Carmen_Hermosillo,,poet,,,,
,,,,Emperor_Xianzong_of_Western_Xia,,,,,,
,,,,Elsie_Widdowson,,nutritionist,,,,
,,,,Folquet_de_Marselha,,troubadour,,,,
,,,,Agbarjin,,,,,,
,,,,Margaret_Thatcher,,politician,,,,
,,,,Johannes_Rau,,politician,,,,
,,,,Alain_de_Lille,,theologian,,,,
,,,,Ambrogio_Bergognone,,painter,,,,
,,,,Emperor_Yuan_of_Jin,,,,,,
,,,,Emperor_Daozong_of_Liao,,,,,,
,,,,Blaise_Matuidi,,association_football_player,,,,
,,,short_story,Leo_Tolstoy,,writer,,,,
,,,,Alberto_Tomba,,alpine_skier,,,,
,,,,Michel_Platini,,association_football_player,,,,
,,,,Hansle_Parchment,,hurdler,,,,
,,,,Eduardo_Frei_Montalva,,lawyer,,,,
,,,,Jos_Joaqun_Prez,,politician,,,,
,,,,Tibors_de_Sarenom,,troubadour,,,,
,,,,Tony_Barbieri,,screenwriter,,,,
,,,,Friedrich_Wilhelm_Grund,,composer,,,,
,,,,Andrei_Rublev,,painter,,,,
,,,,Andrei_Tarkovsky,,film_director,,,,
,,,,Akira_Kurosawa,,film_director,,,,
Kim_Carnes_discography,,,rock_music,Kim_Carnes,,singer,,,,
,,,novel,Stendhal,,writer,,,,
,,,,Broul,,writer,,,,
,,,,Paul_Otto,,actor,,,,
,,,,Emperor_Shizong_of_Liao,,,,,,
,,,,Uskhal_Khan_Tgs_Temr,,,,,,
